accepted_bin,wood_density,root_depth,leaf_n,leaf_p,stem_diameter,bark_thickness,seed_dry_mass,leaf_k,stomatal_conduct.,leaf_thickness,leaf_density,leaf_vcmax,conduit_diam.,crown_diameter,crown_height,tree_height,leaf_area,specific_leaf_area,shade,drought,water,cold,fire_tol,growth_rate
Ailanthus altissima,0.4369767845156261,1.8,27.139229740803135,2.3981666814949043,0.34149999999999997,5.367164086956604,54.81261737206396,13.436161333617848,178.3641131791521,0.18593336820642845,0.39945656566623744,0.3378745383749903,32.01763839658258,4.112461632231726,5.6,30.000000000000004,24856.32519973704,18.53891539303408,NA,NA,NA,NA,NA,NA
Betula alleghaniensis,0.6268098161945205,0.8,22.538331941130195,1.823093296874782,0.515,2.4455907397480563,0.8590566011187702,4.016330920935561,272.354606997478,0.10370160737735548,0.519020164530977,0.765883685587521,33.882487419688175,11.35,17,32.599999999999994,2581.8750494480673,19.528446202615417,3.17,3,2,-43.89,2,1
Betula lenta,0.5822949252620357,0.8,21.345299598842793,1.4295986558453413,0.9,2.458719122014406,0.5096409311876123,6.475615151894965,285.47166625371466,0.10984791852097275,0.45254755149993786,0.7649921318150346,34.00389332177033,11.35,18.12,32.599999999999994,2887.861786449994,19.186770757501957,2.58,3,1,-32.22,2,2
Betula nigra,0.5467960074780741,0.8,21.209704160870945,1.5748446740575175,0.515,2.4455907397480563,0.8725573088696089,3.93942170784562,285.5092714412647,0.11197630033545967,0.5244552423879064,0.765883685587521,33.882487419688175,11.35,17,32.599999999999994,2311.523969412887,15.412039966599668,1.45,1.53,2.85,-35,3,3
Betula papyrifera,0.5389121601761862,0.8,22.961295920927004,1.674304335488653,0.9,2.458719122014406,0.2628432895234599,7.467987669477758,247.252441377379,0.13780606444789864,0.3725562967470116,0.8009438119364342,34.00389332177033,11.35,18.12,40,2279.4850757186805,16.424512950147978,1.54,2.02,1.25,-52.22,4,3
Betula populifolia,0.54942177078852406,1,20.443926471436328,1.6510094452757762,0.515,2.4455907397480563,0.2668122986413738,4.36064839057101,272.354606997478,0.11250562287192982,0.5411867301551357,0.765883685587521,33.882487419688175,11.35,13.6,30.000000000000004,2646.4949707339465,20.028965963463484,1.5,2.34,1,-37.22,3,3
Carpinus caroliniana,0.6248141677112061,2.15,20.19517784855891,1.3454279614928906,0.9,2.291296539944014,15.112616089886927,5.70117294341265,270.69113782029046,0.09211807544850298,0.5035564975535379,0.764243334238872,27.44976949537495,11.35,12.1,30.000000000000004,1167.507575013095,23.125062979848,4.58,2.02,2.3,-36.6,2,1
Carya alba,0.652999731166372,3.048,19.709364786443935,1.458740905334179,0.5801,16.455078671284962,1024.562363450152,9.55287780262116,285.5969733501776,0.0987005095449932,0.4953649755256694,0.5299482185917586,41.9612365077789,11.35,13.6,40,10302.9781320475,16.61795237740789,2.2,3,1.26,-36.11,3,1
Carya cordiformis,0.59440744001670065,3.048,21.94328659070002,1.9074929489637744,0.5801,16.455078671284962,979.566113152264,9.36694615271505,285.5969733501776,0.10263115769645534,0.4764622132213943,0.5299482185917586,41.9612365077789,11.35,13.6,40,9941.156565345866,20.7248779488444,2.07,4,2.5,-43.89,3,1
Carya glabra,0.6168153773746818,3.048,19.927141169060683,1.64569234074414,0.5801,16.455078671284962,982.2819870217468,9.359868168243286,285.5969733501776,0.10627706855467516,0.5030893628480626,0.5299482185917586,41.9612365077789,11.35,13.6,40,12864.461818533697,19.028922388661275,2.69,4,1.16,-34.44,3,1
Carya ovata,0.6495137751273615,3.048,18.04609807500766,1.9615883737494424,0.5801,16.455078671284962,1679.1040446218717,9.845940633535095,284.7102296194022,0.09028037886247615,0.49529336614467434,0.5299482185917586,41.9612365077789,11.35,13.6,43,7895.423426121496,17.85069168089613,3.4,3,1.38,-40,3,1
Castanea dentata,0.5154528176700277,0.9144,20.4193217451445,1.8254279951625805,0.426,3.7762086588267714,4537.1891698929185,7.107844738823966,219.22709307378724,0.1204853811946487,0.5619410281935778,0.5236700487275918,40.72108251910352,13.550000000000004,16.300000000000004,35.05200000000001,5687.370615191778,18.324708970314756,3.06,3,1,-36.11,1,3
Celtis occidentalis,0.4204760204545818,6,28.457955162296464,1.7589322505927034,0.64,4.0144556881402895,20.88852204549717,5.646858736882253,363.3614155862692,0.30494808358237546,0.30157742676995636,0.1912556383720639,34.654045387543015,13.550000000000004,12.300000000000002,40,3243.0240159960736,15.623659010433196,3.17,3.85,2.65,-43.89,2,3
Chamaecyparis thyoides,0.4173069432424192,1.524,11.866456387109562,1.3065321339266769,0.98,12.860079909027547,4.715009703194554,6.057244529013331,135.93466588414051,0.5042655903085922,0.33003395522131784,0.3449158659313055,11.61454766917756,9.11352,29.931360000000005,72,10.050366010548164,8.00618690205564,3.5,1,4.04,-37.7,3,2
Cornus florida,0.5970548401650352,0.508,15.044081367628028,1.4638219079670507,0.416381162,3.3571970435339873,99.94940882723635,8.521485731342626,178.57827882460543,0.11620841097783678,0.5433958887880695,0.28732338114788425,25.39231085608489,6.7933790715,13.2,22.9,2199.6952440459027,23.985051794414343,4.87,2.92,1.1,-33.33,3,2
Elaeagnus angustifolia,0.4979489167708604,6,31.6168866008863,1.0533273517720674,0.656,7.270313115735746,46.29131446757717,12.631406040672848,333.6767403184796,0.2403394258859716,0.3483404268835336,0.6364084855018389,41.19469761266941,17.651110917,25.199999999999996,12,1374.220241311468,13.184713210805027,NA,NA,NA,NA,NA,NA
Fagus grandifolia,0.6066290632590103,1.5,21.47210405097593,1.5133962050481238,1.7,3.5298902765789895,184.9078923122999,6.432577733925161,153.11618663593748,0.0953097438329682,0.5460947155436582,0.4421661960351797,29.9607875876228,17.651110917,25.199999999999996,63.39999999999997,2745.879783818894,22.684068870123586,4.75,1.5,1.5,-42.22,3,1
Fraxinus americana,0.6335505947356371,2.7432000000000003,21.73273376512451,1.802159274080986,1.7,3.498673850938222,42.99501126085253,11.652332065520024,308.78441106399396,0.12246267903038206,0.4435362241828072,0.3468217482884862,36.51885212500697,8.91,7.2,43.60000000000001,8411.29728410502,17.8061099443594,2.46,2.38,2.59,-36.67,3,2
Fraxinus nigra,0.5679805755391996,2.7432000000000003,22.290728339705076,1.4262652570926435,0.5466289940670105,3.411884606454724,44.451776163257925,10.63871529541597,197.54326197913983,0.122094451933024,0.4037803404787211,0.3468217482884862,36.51885212500697,8.91,10.00239341336438,36.99999999999999,9712.082340751003,15.460911433805158,2.96,2,3.5,-43.89,3,1
Fraxinus pennsylvanica,0.6081511709075568,2.7432000000000003,20.43383885334424,1.806061280111778,1.7,3.4461614889262684,40.44702680527315,12.294248660808044,258.5565884308899,0.13139583885693062,0.43988430299873704,0.39046933980953585,36.51885212500697,8.91,7.2,43.60000000000001,8666.273540250464,16.88522514402166,3.11,3.85,2.98,-43.89,3,3
Ilex opaca,0.4911376364936288,0.762,12.89281647438606,0.7128145120779579,0.410317359,3.487146072053909,12.282127020548549,7.96430992236536,105.27275047736914,0.1774694719034675,0.5025668203298493,0.26874891367370823,17.089032158083068,7.225,7.468000000000002,30.5,1791.353055008798,9.130081380336186,4.28,2.92,1.93,-28.89,2,1
Juglans cinerea,0.4786633491923192,1.016,21.01037697292445,2.69140524534436,0.5801,15.480646532219987,3029.220103331629,8.732739813136993,182.14483861537917,0.09429339346995004,0.5764678758661816,0.46390576363390645,41.976840987879285,11.35,13.6,55.000000000000014,5878.501258463192,18.218868893956152,1.88,2.38,1.27,-36.11,2,3
Juglans nigra,0.5334276849701103,3.3528,21.62634209049638,2.443914925449938,0.851,16.455078671284962,8504.030993634633,15.738964026865109,226.09333178955077,0.13126256684833332,0.4675744512499042,0.5299482185917586,41.9612365077789,11.35,13.6,49.99999999999999,932.651986342796,26.506509379096325,1.93,2.38,1.83,-33.33,4,3
Juniperus virginiana,0.5199440586319555,7.924800000000001,12.904608303705771,0.9605835871107632,0.593,6.534847183303499,19.771672036208404,1.5664464733026175,82.59286184941196,0.5690133230976508,0.32348062156628193,0.13616842257808806,8.904356221718478,9.325,21.35,40,17.781544864410876,3.8642192675768214,1.28,4.65,1.19,-41.6,2,1
