SPCD,species,accepted_bin
6095,Alstonia macrophylla,Alstonia macrophylla
6096,Alstonia pacifica,Tabernaemontana pandacaqui
6097,Alstonia,NA
6101,Amphitecna latifolia,Amphitecna latifolia
6103,Amyris balsamifera,Amyris balsamifera
6106,Anacardium,NA
6107,Anacardium occidentale,Anacardium occidentale
6108,Anacolosa glochidiiformis,Anacolosa glochidiiformis
6109,Anacolosa insularis,Anacolosa insularis
6111,Anadenanthera peregrina,Anadenanthera peregrina
6114,Andira inermis,Andira inermis
6118,Angiopteris evecta,NA
6120,Aniba bracteata,Aniba bracteata
6124,Annona cherimola,Annona cherimola
6125,Annona diversifolia,Annona macroprophyllata
6127,Annona montana,Annona montana
6128,Annona muricata,Annona muricata
6129,Annona reticulata,Annona reticulata
6130,Annona,NA
6131,Annona squamosa,Annona squamosa
6135,Antidesma kapuae,NA
6137,Antidesma bunius,Antidesma bunius
6138,Antidesma kusaiense,Antidesma excavatum
6139,Antidesma platyphyllum,Antidesma platyphyllum
6142,Antidesma ponapense,Antidesma excavatum
6143,Antidesma pulvinatum,Antidesma pulvinatum
6144,Antidesma sphaerocarpum,Antidesma excavatum
6145,Antidesma,NA
6146,Antirhea acutata,Stenostomum acutatum
6147,Antirhea coriacea,Stenostomum coriaceum
6148,Antirhea inconspicua,Antirhea inconspicua
6149,Antirhea lucida,Stenostomum lucidum
6150,Antirhea obtusifolia,Stenostomum obtusifolium
6151,Antirhea portoricensis,Stenostomum portoricense
6152,Antirhea sintenisii,Stenostomum sintenisii
6154,Araucaria angustifolia,Araucaria angustifolia
6155,Araucaria columnaris,Araucaria columnaris
6156,Araucaria excelsa,NA
6157,Araucaria heterophylla,Araucaria heterophylla
6158,Araucaria,NA
6159,Archontophoenix alexandrae,Archontophoenix alexandrae
6160,Archontophoenix cunninghamiana,Archontophoenix cunninghamiana
6161,Ardisia elliptica,Ardisia elliptica
6162,Ardisia glauciflora,Ardisia glauciflora
6163,Ardisia luquillensis,Ardisia luquillensis
6164,Ardisia obovata,Ardisia obovata
6165,Ardisia solanacea,Ardisia solanacea
6166,Ardisia,NA
6167,Areca catechu,Areca catechu
6169,Arenga pinnata,Arenga pinnata
6171,Artocarpus altilis,Artocarpus altilis
6173,Artocarpus heterophyllus,Artocarpus heterophyllus
6175,Artocarpus mariannensis,Artocarpus mariannensis
6176,Artocarpus nobilis,Artocarpus nobilis
6177,Artocarpus odoratissimus,Artocarpus odoratissimus
6178,Artocarpus,NA
6179,Arytera brackenridgei,Arytera brackenridgei
6180,Arbutus unedo,Arbutus unedo
6181,Ascarina diffusa,Ascarina diffusa
6184,Astronidium kusaianum,Astronidium carolinense
6185,Astronidium navigatorum,NA
6186,Astronidium palauense,Astronidium palauense
6187,Astronidium pickeringii,Astronidium victoriae
6188,Astronidium samoense,NA
6189,Astronidium,NA
6190,Astronidium subcordata,NA
6193,Atuna racemosa,Atuna racemosa
6197,Averrhoa bilimbi,Averrhoa bilimbi
6198,Averrhoa carambola,Averrhoa carambola
6199,Averrhoa,NA
6200,Avicennia alba,Avicennia marina
6203,Avicennia marina,Avicennia marina
6205,Avicennia,NA
6206,Azadirachta indica,Azadirachta indica
6208,Baccaurea taitensis,Baccaurea taitensis
6212,Larix decidua,Larix decidua
6213,Badusa palauensis,Badusa palauensis
6215,Bambusa,NA
6216,Bambusa vulgaris,NA
6217,Banara portoricensis,Banara portoricensis
6219,Banara vanderbiltii,Banara vanderbiltii
6220,Barringtonia asiatica,Barringtonia asiatica
6221,Barringtonia racemosa,Barringtonia racemosa
6222,Barringtonia samoensis,Barringtonia samoensis
6223,Barringtonia,NA
6224,Bastardiopsis eggersii,Bastardiopsis eggersii
6225,Bauhinia binata,Bauhinia tomentosa
6226,Bauhinia monandra,Bauhinia monandra
6227,Bauhinia multinervia,Bauhinia multinervia
6228,Bauhinia pauletia,Bauhinia pauletia
6229,Bauhinia purpurea,Bauhinia purpurea
6230,Bauhinia,NA
6231,Bauhinia tomentosa,Bauhinia tomentosa
6232,Bauhinia variegata,Bauhinia variegata
6233,Beilschmiedia pendula,Beilschmiedia pendula
6234,Lindera subcoriacea,Lindera subcoriacea
6235,Bernardia dichotoma,Bernardia dichotoma
6236,Bischofia javanica,Bischofia javanica
6237,Bischofia,NA
6238,Bixa orellana,Bixa orellana
6239,Bixa,NA
6240,Blighia sapida,Blighia sapida
6241,Bauhinia lunarioides,Bauhinia lunarioides
6242,Bobea brevipes,Bobea brevipes
6243,Bobea elatior,Bobea gaudichaudii
6244,Bobea sandwicensis,Bobea sandwicensis
6245,Bobea,NA
6246,Bobea timonioides,Bobea timonioides
6247,Bocconia frutescens,Bocconia frutescens
6248,Bocconia,NA
6250,Boehmeria virgata,Boehmeria virgata
6251,Bontia daphnoides,Bontia daphnoides
6252,Bauhinia blakeana,NA
6253,Bourreria radula,Bourreria radula
6255,Bourreria succulenta,Bourreria venosa
6257,Bourreria virgata,Bourreria virgata
6258,Brachychiton discolor,Brachychiton discolor
6259,Brachychiton populneum,Brachychiton populneus
6260,Broussaisia arguta,Broussaisia arguta
6262,Broussonetia papyrifera,Broussonetia papyrifera
6264,Brugmansia candida,NA
6266,Bruguiera gymnorhiza,Bruguiera gymnorhiza
6267,Bruguiera parviflora,Bruguiera parviflora
6268,Bruguiera sexangula,Bruguiera sexangula
6269,Bruguiera,NA
6270,Brunellia comocladiifolia,Brunellia comocladifolia
6272,Brunfelsia americana,Brunfelsia americana
6273,Brunfelsia densifolia,Brunfelsia densifolia
6274,Brunfelsia lactea,Brunfelsia lactea
6275,Brunfelsia portoricensis,Brunfelsia portoricensis
6277,Buchanania engleriana,Buchanania engleriana
6278,Buchanania merrillii,Buchanania merrillii
6279,Buchanania palawensis,Buchanania palawensis
6280,Buchanania,NA
6283,Buchenavia tetraphylla,Buchenavia tetraphylla
6284,Bucida buceras,Bucida buceras
6286,Buddleja asiatica,Buddleja asiatica
6294,Bunchosia glandulifera,Bunchosia glandulifera
6295,Bunchosia glandulosa,Bunchosia glandulosa
6297,Bunchosia polystachia,Bunchosia polystachia
6299,Burckella richii,Burckella richii
6303,Buxus laevigata,NA
6304,Buxus portoricensis,Buxus portoricensis
6306,Buxus vahlii,Buxus vahlii
6308,Byrsonima crassifolia,Byrsonima crassifolia
6311,Byrsonima lucida,Byrsonima lucida
6313,Byrsonima spicata,Byrsonima spicata
6315,Byrsonima wadsworthii,Byrsonima wadsworthii
6316,Caesalpinia,NA
6317,Caesalpinia coriaria,Caesalpinia coriaria
6318,Caesalpinia kavaiensis,NA
6319,Caesalpinia pulcherrima,Caesalpinia pulcherrima
6320,Caesalpinia sappan,Caesalpinia sappan
6325,Calliandra surinamensis,Calliandra surinamensis
6326,Callicarpa ampla,Callicarpa ampla
6328,Callistemon citrinus,Callistemon citrinus
6329,Callistemon viminalis,Callistemon viminalis
6331,Callitris columellaris,Callitris columellaris
6337,Caloncoba echinata,Caloncoba echinata
6338,Calophyllum antillanum,Calophyllum brasiliense
6341,Calophyllum inophyllum,Calophyllum inophyllum
6342,Calophyllum neo-ebudicum,Calophyllum neoebudicum
6343,Calophyllum pelewense,Calophyllum pelewense
6344,Calophyllum soulattri,Calophyllum soulattri
6345,Calophyllum,NA
6346,Calotropis procera,Calotropis procera
6347,Calotropis,NA
6350,Calycophyllum candidissimum,Calycophyllum candidissimum
6351,Calyptranthes kiaerskovii,Calyptranthes kiaerskovii
6352,Calyptranthes krugii,Calyptranthes krugii
6353,Calyptranthes luquillensis,Calyptranthes luquillensis
6354,Calyptranthes pallens,Calyptranthes pallens
6355,Calyptranthes portoricensis,Myrcia portoricensis
6356,Calyptranthes sintenisii,Calyptranthes sintenisii
6358,Calyptranthes thomasiana,Calyptranthes thomasiana
6359,Calyptranthes zuzygium,Calyptranthes zuzygium
6360,Calyptronoma rivalis,Calyptronoma rivalis
6366,Campnosperma brevipetiolatum,Campnosperma brevipetiolatum
6367,Campnosperma brevipetiolata,Campnosperma brevipetiolatum
6370,Cananga odorata,Cananga odorata
6372,Canarium mafoa,Canarium harveyi
6373,Canarium hirsutum,Canarium hirsutum
6374,Canarium indicum,Canarium indicum
6375,Canarium ovatum,Canarium ovatum
6377,Canarium,NA
6378,Canarium vitiense,Canarium vitiense
6379,Canarium vulgare,Canarium vulgare
6380,Canella winteriana,Canella winterana
6381,Psydrax merrillii,NA
6383,Capparis amplissima,Capparis amplissima
6384,Capparis baducca,Capparis baducca
6386,Capparis cynophallophora,NA
6387,Capparis flexuosa,NA
6389,Capparis hastata,NA
6390,Capparis indica,Capparis indica
6393,Carapa guianensis,Carapa guianensis
6395,Carica papaya,Carica papaya
6396,Carica,NA
6397,Carmona retusa,NA
6398,Carmona,NA
6399,Caryota mitis,Caryota mitis
6400,Caryota,NA
6401,Caryota urens,Caryota urens
6402,Casearia aculeata,Casearia aculeata
6403,Casearia arborea,Casearia arborea
6405,Casearia cauliflora,Casearia cauliflora
6406,Casearia decandra,Casearia decandra
