SPCD,species,accepted_bin
7567,Leucaena retusa,Leucaena retusa
7569,Licaria brittoniana,Licaria brittoniana
7570,Licaria parvifolia,Misanteca parvifolia
7571,Liquidambar orientalis,Liquidambar orientalis
7573,Licaria triandra,Licaria triandra
7574,Ligustrum amurense,Citharexylum ligustrifolium
7575,Ligustrum sinense,Ligustrum sinense
7576,Ligustrum,NA
7577,Ligustrum japonicum,Ligustrum japonicum
7578,Ligustrum lucidum,Ligustrum lucidum
7579,Ligustrum ovalifolium,Ligustrum ovalifolium
7580,Lindera melissifolia,Lindera melissifolia
7583,Litchi chinensis,Litchi chinensis
7586,Litsea samoensis,Litsea samoensis
7587,Litsea,NA
7588,Livistona chinensis,Livistona chinensis
7590,Lonchocarpus domingensis,Lonchocarpus sericeus
7591,Lonchocarpus glaucifolius,Lonchocarpus glaucifolius
7592,Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus
7593,Lonicera maackii,NA
7595,Lophostemon confertus,Lophostemon confertus
7598,Lucuma nervosa,Pouteria campechiana
7600,Luehea speciosa,Luehea speciosa
7602,Lumnitzera littorea,Lumnitzera littorea
7604,Lunania,NA
7606,Lunania ekmanii,Lunania ekmanii
7608,Lyonia rubiginosa,Lyonia rubiginosa
7614,Macadamia integrifolia,Macadamia integrifolia
7616,Macadamia,NA
7617,Macadamia tetraphylla,Macadamia tetraphylla
7618,Macaranga carolinensis,Macaranga carolinensis
7619,Macaranga grayana,Macaranga grayana
7620,Macaranga harveyana,Macaranga harveyana
7621,Macaranga mappa,Macaranga mappa
7623,Macaranga,NA
7625,Macaranga stipulosa,Macaranga stipulosa
7626,Macaranga tanarius,Macaranga tanarius
7627,Macaranga thompsonii,Macaranga thompsonii
7628,Machaerium lunatum,Machaerium lunatum
7630,Machaonia portoricensis,Machaonia portoricensis
7631,Magnolia stellata,Magnolia stellata
7632,Maclura tinctoria,Maclura tinctoria
7633,Maesopsis eminii,Maesopsis eminii
7634,Magnolia soulangiana,NA
7635,Magnolia portoricensis,Magnolia portoricensis
7636,Magnolia splendens,Magnolia splendens
7637,Magnolia sieboldii,Magnolia sieboldii
7638,Mallotus palauensis,Mallotus tiliifolius
7639,Mallotus philippensis,Mallotus philippensis
7641,Mallotus,NA
7642,Mallotus tiliifolius,Mallotus tiliifolius
7643,Malpighia coccigera,Malpighia coccigera
7644,Malpighia emarginata,Malpighia emarginata
7645,Malpighia fucata,Malpighia fucata
7646,Malpighia glabra,Malpighia glabra
7647,Malpighia infestissima,Malpighia infestissima
7648,Malpighia linearis,Malpighia linearis
7649,Malus baccata,Malus baccata
7650,Malus floribunda,Malus floribunda
7651,Malus pumila,NA
7652,Mammea americana,Mammea americana
7653,Mammea glauca,Mammea glauca
7654,Mammea odorata,Mammea odorata
7655,Mammea,NA
7657,Mangifera minor,Mangifera minor
7658,Mangifera odorata,Mangifera odorata
7659,Mangifera,NA
7660,Manihot carthaginensis,Manihot carthaginensis
7661,Manihot,NA
7662,Manilkara bidentata,Manilkara bidentata
7663,Manilkara bidentata,Manilkara bidentata
7664,Manilkara dissecta,Manilkara dissecta
7666,Manilkara hoshinoi,Manilkara hoshinoi
7667,Manilkara jaimiqui,Manilkara jaimiqui
7669,Manilkara pleeana,Manilkara pleeana
7671,Manilkara,NA
7672,Manilkara udoido,Manilkara udoido
7673,Manilkara valenzuela,Manilkara valenzuelana
7674,Manilkara zapota,Manilkara zapota
7677,Mappia racemosa,Mappia racemosa
7679,Maranthes corymbosa,Maranthes corymbosa
7680,Marattia fraxinea,NA
7682,Margaritaria nobilis,Margaritaria nobilis
7684,Marlierea sintenisii,Marlierea sintenisii
7688,Matayba apetala,NA
7689,Matayba domingensis,Matayba domingensis
7694,Maytenus boaria,Maytenus boaria
7695,Maytenus cymosa,Gymnosporia heterophylla
7697,Maytenus elongata,Maytenus elongata
7698,Maytenus laevigata,Maytenus laevigata
7699,Maytenus ponceana,Maytenus ponceana
7700,Maytenus thompsonii,Gymnosporia thompsonii
7702,Mecranium latifolium,Mecranium latifolium
7704,Medusanthera carolinensis,Medusanthera laxiflora
7705,Medusanthera samoensis,Medusanthera samoensis
7706,Medusanthera,NA
7709,Melaleuca,NA
7710,Melanolepis multiglandulosa,Melanolepis multiglandulosa
7712,Melastoma candidum,NA
7713,Melastoma sanguineum,Melastoma sanguineum
7715,Melaleuca linariifolia,Melaleuca linariifolia
7716,Melia,NA
7717,Melicoccus bijugatus,Melicoccus bijugatus
7719,Melicope anisata,Melicope anisata
7720,Melicope balloui,Melicope balloui
7721,Melicope barbigera,Melicope barbigera
7722,Melicope christophersenii,Melicope christophersenii
7723,Melicope cinerea,Melicope cinerea
7724,Melicope clusiifolia,Melicope clusiifolia
7725,Melicope cruciata,Melicope cruciata
7726,Melicope elliptica,Pelea elliptica
7727,Melicope haleakalae,Melicope haleakalae
7728,Melicope haupuensis,Melicope haupuensis
7729,Melicope hawaiensis,Melicope hawaiensis
7730,Melicope hiiakae,Melicope hiiakae
7731,Melicope hosakae,Melicope hosakae
7732,Melicope kaalaensis,Melicope kaalaensis
7733,Melicope knudsenii,Melicope knudsenii
7734,Melicope macropus,Melicope macropus
7735,Melicope makahae,Melicope makahae
7736,Melicope molokaiensis,Melicope molokaiensis
7737,Melicope mucronulata,Melicope mucronulata
7738,Melicope oahuensis,Melicope oahuensis
7739,Melicope obovata,Melicope obovata
7740,Melicope orbicularis,Melicope orbicularis
7741,Melicope ovalis,Melicope ovalis
7742,Melicope ovata,Melicope ovata
7743,Melicope pallida,Melicope pallida
7744,Melicope paniculata,Melicope paniculata
7745,Melicope peduncularis,Melicope peduncularis
7746,Melicope pseudoanisata,Melicope pseudoanisata
7747,Melicope puberula,Melicope puberula
7748,Melicope quadrangularis,Melicope quadrangularis
7749,Melicope radiata,Melicope radiata
7750,Melicope latifolia,Melicope latifolia
7751,Melicope rotundifolia,Melicope rotundifolia
7752,Melicope saint-johnii,Melicope saintjohnii
7753,Melicope sandwicensis,Melicope sandwicensis
7754,Melicope,NA
7755,Melicope volcanica,Melicope volcanica
7756,Melicope waialealae,Melicope waialealae
7757,Melicope wawraeana,Melicope wawraeana
7758,Melicope zahlbruckneri,Melicope zahlbruckneri
7759,Melicytus samoensis,NA
7763,Meliosma herbertii,Meliosma herbertii
7764,Meliosma obtusifolia,Meliosma obtusifolia
7766,Melochia aristata,Melochia aristata
7767,Melochia,NA
7768,Melochia tomentosa,NA
7769,Melochia umbellata,Melochia umbellata
7770,Melochia villosissima,Melochia villosissima
7771,Melochia villosissima,Melochia villosissima
7774,Merrilliodendron megacarpum,Merrilliodendron megacarpum
7776,Meryta macrophylla,Meryta macrophylla
7777,Meryta senfftiana,Meryta senfftiana
7778,Meryta,NA
7779,Metasequoia glyptostroboides,Metasequoia glyptostroboides
7781,Metrosideros collina,Metrosideros collina
7782,Metrosideros macropus,Metrosideros macropus
7783,Metrosideros polymorpha,Metrosideros polymorpha
7792,Metrosideros rugosa,Metrosideros rugosa
7793,Metrosideros,NA
7794,Metrosideros tremuloides,Metrosideros tremuloides
7795,Metrosideros waialealae,Metrosideros waialealae
7798,Metroxylon amicarum,Metroxylon amicarum
7799,Metroxylon sagu,Metroxylon sagu
7800,Metroxylon,NA
7801,Michelia champaca,Magnolia champaca
7803,Miconia lanata,Miconia lanata
7804,Miconia affinis,Miconia affinis
7805,Miconia calvescens,Miconia calvescens
7806,Miconia foveolata,Miconia foveolata
7807,Miconia impetiolaris,Miconia impetiolaris
7808,Miconia laevigata,Miconia laevigata
7810,Miconia mirabilis,Miconia mirabilis
7812,Miconia pachyphylla,Miconia pachyphylla
7813,Miconia prasina,Miconia prasina
7814,Miconia punctata,Miconia punctata
7815,Miconia pycnoneura,Miconia pycnoneura
7816,Miconia racemosa,Miconia racemosa
7817,Miconia rubiginosa,Miconia rubiginosa
7818,Miconia serrulata,Miconia serrulata
7819,Miconia sintenisii,Acinodendron sintenisii
7821,Miconia subcorymbosa,Miconia calycina
7822,Miconia tetrandra,Miconia tetrandra
7823,Miconia thomasiana,Acinodendron thomasianum
7824,Micromelum minutum,Micromelum minutum
7828,Micropholis garciniifolia,Micropholis garciniifolia
7829,Micropholis guyanensis,Micropholis guyanensis
7831,Millettia pinnata,Pongamia pinnata
7833,Mimosa arenosa,Mimosa arenosa
7835,Mimusops elengi,Mimusops elengi
7839,Monodora,NA
7841,Montanoa hibiscifolia,NA
7842,Montanoa,NA
7845,Morella cerifera,Morella cerifera
7846,Morella faya,Morella faya
7847,Morella holdridgeana,Morella holdridgeana
7848,Morella,NA
7849,Morinda citrifolia,Morinda citrifolia
7850,Morinda latibractea,Morinda latibractea
7851,Morinda pedunculata,Morinda pedunculata
7852,Morinda,NA
7853,Morinda trimera,Morinda trimera
7855,Moringa oleifera,Moringa oleifera
7857,Morisonia americana,Morisonia americana
7861,Myoporum laetum,Myoporum laetum
7862,Mouriri domingensis,Mouriri domingensis
7863,Mouriri helleri,Mouriri helleri
7865,Munroidendron racemosum,Polyscias racemosa
7867,Muntingia calabura,Muntingia calabura
7868,Muntingia,NA
7869,Murraya exotica,NA
7870,Murraya koenigii,Murraya koenigii
7872,Musa paradisiaca,NA
7873,Musa coccinea,NA
7874,Musa nana,NA
7875,Musa sapientum,NA
7876,Musa,NA
7877,Musa textilis,NA
7878,Musa tikap,NA
7879,Musa troglodytarum,NA
7880,Mussaenda frondosa,Mussaenda frondosa
7881,Mussaenda raiateensis,Mussaenda raiateensis
7882,Mussaenda,NA
7883,Myoporum sandwicense,Myoporum sandwicense
7884,Myoporum,NA
7886,Myrcia citrifolia,Myrcia citrifolia
7887,Myrcia deflexa,NA
7888,Myrcia fallax,Myrcia splendens
7889,Myrcia leptoclada,Myrcia amazonica
7890,Myrcia paganii,Myrcia paganii
7891,Myrcia splendens,Myrcia splendens
7892,Myrcia,NA
7893,Myrcianthes fragrans,Myrcianthes fragrans
7894,Myrciaria cauliflora,Plinia cauliflora
7895,Myrciaria floribunda,Myrciaria floribunda
7899,Myrica rubra,Myrica rubra
7900,Myrica,NA
7902,Myristica hypargyraea,Myristica hypargyraea
7903,Myristica insularis,Myristica hypargyraea
7904,Myristica,NA
7905,Myrospermum frutescens,Myrospermum frutescens
7906,Myristica inutilis,Myristica inutilis
7907,Myroxylon balsamum,Myroxylon balsamum
7910,Myrsine alyxifolia,Myrsine alyxifolia
7911,Myrsine coriacea,Myrsine coriacea
7912,Myrsine cubana,Myrsine cubana
7913,Myrsine degeneri,Myrsine degeneri
7914,Myrsine emarginata,Myrsine lessertiana
7915,Myrsine fernseei,Myrsine fernseei
7916,Myrsine fosbergii,Rapanea fosbergii
7918,Myrsine helleri,Myrsine helleri
7919,Myrsine kauaiensis,Myrsine kauaiensis
7920,Myrsine knudsenii,Myrsine knudsenii
7921,Myrsine lanaiensis,Myrsine lanaiensis
7922,Myrsine lessertiana,Myrsine lessertiana
7923,Myrsine mezii,Myrsine mezii
7924,Myrsine petiolata,Myrsine petiolata
7925,Myrsine pukooensis,Myrsine pukooensis
7926,Myrsine sandwicensis,Myrsine sandwicensis
7927,Myrsine,NA
7928,Myrsine wawraea,Myrsine wawraea
7929,Myrsine palauensis,Myrsine palauensis
7932,Nectandra coriacea,Nectandra patens
7933,Nectandra hihua,Nectandra hihua
7934,Nectandra krugii,Nectandra krugii
7935,Nectandra membranacea,Nectandra membranacea
7936,Nectandra patens,Nectandra patens
7939,Nectandra turbacensis,Nectandra turbacensis
7940,Neea buxifolia,Neea buxifolia
7942,Ochrosia oppositifolia,Ochrosia oppositifolia
7944,Neolamarckia cadamba,Neolamarckia cadamba
7946,Neolaugeria resinosa,Stenostomum resinosum
7948,Neonauclea forsteri,Neonauclea forsteri
7952,Nephelium lappaceum,Nephelium lappaceum
7953,Nephelium ramboutan-ake,Nephelium ramboutan-ake
7954,Neraudia melastomifolia,Neraudia melastomifolia
7956,Nerium oleander,NA
7958,Nesoluma polynesicum,Sideroxylon polynesicum
7960,Nestegis sandwicensis,Nestegis sandwicensis
7961,Nestegis,NA
7962,Neuburgia celebica,Neuburgia celebica
7964,Nicotiana glauca,Nicotiana glauca
7965,Nicotiana,NA
7966,Nothocestrum breviflorum,Nothocestrum breviflorum
7967,Nothocestrum latifolium,Nothocestrum latifolium
7968,Nothocestrum longifolium,Nothocestrum longifolium
7969,Nothocestrum peltatum,Nothocestrum peltatum
7970,Nothocestrum,NA
7971,Nototrichium humile,Nototrichium humile
7972,Nototrichium sandwicense,Nototrichium sandwicense
7974,Nypa fruticans,Nypa fruticans
7976,Ochna mossambicensis,Ochna mossambicensis
7977,Ochna,NA
7978,Ochna thomasiana,Ochna thomasiana
7980,Ochroma pyramidale,Ochroma pyramidale
7982,Ochrosia compta,Ochrosia compta
7983,Ochrosia haleakalae,Ochrosia haleakalae
7984,Ochrosia kauaiensis,Ochrosia kauaiensis
7985,Ochrosia kilaueaensis,Ochrosia kilaueaensis
7986,Ochrosia,NA
7987,Ochrosia mariannensis,Ochrosia mariannensis
7990,Ocotea floribunda,Ocotea floribunda
7991,Ocotea foeniculacea,Ocotea foeniculacea
7994,Ocotea leucoxylon,Ocotea leucoxylon
7996,Ocotea moschata,Ocotea moschata
7997,Ocotea nemodaphne,Ocotea cuneata
7999,Ocotea portoricensis,Ocotea oblonga
8000,Oleandra neriiformis,NA
8001,Ocotea spathulata,Ocotea spathulata
8003,Ocotea wrightii,Ocotea wrightii
8004,Olea europaea,Olea europaea
8007,Olea,NA
8008,Homalanthus acuminatus,Homalanthus acuminatus
8009,Homalanthus nutans,Homalanthus nutans
8010,Homalanthus,NA
8011,Ophiorrhiza palauensis,NA
8013,Opuntia cochenillifera,NA
8014,Opuntia ficus-indica,NA
8015,Opuntia monacantha,Opuntia monacantha
8018,Opuntia,NA
8019,Ormosia calavensis,Ormosia calavensis
8020,Ormosia krugii,Ormosia krugii
8022,Osmoxylon oliveri,Osmoxylon truncatum
8023,Osmoxylon pachyphyllum,Osmoxylon pachyphyllum
8024,Osmoxylon,NA
8027,Ottoschulzia rhodoxylon,Ottoschulzia rhodoxylon
8029,Ouratea ilicifolia,Drypetes ilicifolia
8030,Ouratea littoralis,Ouratea littoralis
8032,Ouratea striata,Ouratea striata
8033,Oxandra lanceolata,Oxandra lanceolata
8034,Oxandra laurifolia,Oxandra laurifolia
8036,Pachira aquatica,Pachira aquatica
8037,Pachira insignis,Pachira insignis
8044,Palaquium stehlinii,Palaquium stehlinii
8045,Palicourea alpina,Palicourea alpina
8047,Palicourea crocea,NA
8049,Palicourea croceoides,Palicourea croceoides
8051,Palicourea guianensis,Palicourea guianensis
8053,Pandanus japensis,Pandanus polycephalus
8054,Pandanus aimiriikensis,Pandanus polycephalus
8055,Pandanus cominsii,Pandanus conoideus
8056,Pandanus compressus,Pandanus dubius
8057,Pandanus cylindricus,Pandanus tectorius
8058,Pandanus dilatatus,Pandanus tectorius
8059,Pandanus divergens,Pandanus tectorius
8060,Pandanus dubius,Pandanus dubius
8061,Pandanus duriocarpus,Pandanus tectorius
8062,Pandanus enchabiensis,Pandanus tectorius
8063,Pandanus fischerianus,Pandanus tectorius
8064,Pandanus fragrans,Pandanus tectorius
8065,Pandanus hosinoi,Pandanus tectorius
8066,Pandanus jaluitensis,Pandanus tectorius
8067,Pandanus kanehirae,Pandanus kanehirae
8068,Pandanus korrensis,Pandanus tectorius
8069,Pandanus lakatwa,Pandanus tectorius
8070,Pandanus laticanaliculatus,Pandanus tectorius
8071,Pandanus macrocephalus,Pandanus tectorius
8072,Pandanus macrojeanneretia,Pandanus polycephalus
8073,Pandanus menne,Pandanus tectorius
8074,Palaquium karrak,Palaquium karrak
8075,Pandanus odontoides,Pandanus tectorius
8076,Pandanus palawensis,Pandanus palawensis
8077,Pandanus patina,Pandanus patina
8078,Pandanus peliliuensis,Pandanus polycephalus
8079,Pandanus ponapensis,Pandanus tectorius
8080,Pandanus pulposus,Pandanus tectorius
8081,Pandanus rectangulatus,Pandanus tectorius
8082,Pandanus reineckei,Pandanus reineckei
8083,Pandanus rotundatus,Pandanus tectorius
8084,Pandanus,NA
8085,Pandanus tectorius,Pandanus tectorius
8086,Pandanus tolotomensis,Pandanus tectorius
8087,Pandanus trukensis,Pandanus tectorius
8088,Pandanus utilis,Pandanus utilis
8090,Pandanus variegatus,Pandanus tectorius
8091,Pangium edule,Pangium edule
8092,Pandanus obliquus,Pandanus tectorius
8099,Parathesis crenulata,Parathesis crenulata
8103,Parinari insularum,Parinari insularum
8104,Parinari laurina,NA
8105,Parinari,NA
8106,Parkia,NA
8107,Parkia korom,Parkia korom
8108,Parkia parvifoliola,Parkia parvifoliola
8110,Parkia timoriana,Parkia timoriana
8111,Parkinsonia aculeata,Parkinsonia aculeata
8112,Parkinsonia,NA
8113,Parmentiera aculeata,Parmentiera aculeata
8114,Parmentiera cereifera,Parmentiera cereifera
8115,Parkinsonia texana,Cercidium texanum
8121,Peltophorum pterocarpum,Peltophorum pterocarpum
8123,Pemphis acidula,Pemphis acidula
8125,Pentadesma butyracea,Pentadesma butyracea
8127,Pera bumeliifolia,Pera bumeliifolia
8129,Pericopsis mooniana,Pericopsis mooniana
8131,Perrottetia sandwicensis,Perrottetia sandwicensis
8134,Persea krugii,Mutisiopersea krugii
8138,Persea urbaniana,Mutisiopersea urbaniana
8141,Petitia domingensis,Petitia domingensis
8143,Phialanthus grandifolius,Phialanthus grandifolius
8144,Phialanthus myrtilloides,Phialanthus myrtilloides
8146,Phaleria nisidai,NA
8150,Phoenix roebelenii,NA
8151,Phoenix canariensis,Phoenix canariensis
8152,Phoenix dactylifera,Phoenix dactylifera
8153,Phoenix,NA
8154,Phoenix sylvestris,Phoenix sylvestris
8155,Photinia davidiana,Photinia davidiana
8157,Phyllanthus acidus,Phyllanthus acidus
8159,Phyllanthus distichus,Phyllanthus distichus
8160,Phyllanthus juglandifolius,Phyllanthus juglandifolius
8162,Phyllanthus orbicularis,Phyllanthus orbicularis
8164,Picramnia pentandra,Picramnia pentandra
8167,Picrasma excelsa,Picrasma excelsa
8169,Pictetia aculeata,Pictetia aculeata
8171,Pilocarpus racemosus,Pilocarpus racemosus
8173,Pilosocereus royenii,Pilosocereus royenii
8175,Pimenta dioica,Pimenta dioica
8177,Pimenta racemosa,Pimenta racemosa
8178,Pimenta racemosa,Pimenta racemosa
8180,Pimenta,NA
8181,Pinanga insignis,Pinanga insignis
8182,Pinus roxburghii,Pinus roxburghii
8183,Pinus caribaea,Pinus caribaea
8184,Pinus massoniana,Pinus massoniana
8185,Pinus merkusii,Pinus merkusii
8186,Pinus oocarpa,Pinus oocarpa
8187,Pinus patula,Pinus patula
8188,Pinus pinaster,Pinus pinaster
8189,Pinus densiflora,Pinus densiflora
8190,Piper aduncum,Piper aduncum
8191,Piper amalago,Piper amalago
8192,Piper blattarum,Piper blattarum
8193,Piper glabrescens,Piper glabrescens
8194,Piper hispidum,Piper hispidum
8195,Piper jacquemontianum,Piper jacquemontianum
8196,Piper marginatum,Piper marginatum
8197,Pinus parviflora,Pinus parviflora
8198,Pinus thunbergii,Pinus thunbergii
8199,Piper swartzianum,Piper swartzianum
8200,Pinus bungeana,Pinus bungeana
8201,Pinus canariensis,Pinus canariensis
8202,Pinus halepensis,Pinus halepensis
8203,Pinus pinea,Pinus pinea
8205,Pipturus albidus,Pipturus albidus
8206,Pipturus argenteus,Pipturus argenteus
8207,Pipturus,NA
8208,Piscidia carthagenensis,Piscidia carthagenensis
8210,Piscidia,NA
8211,Pisonia albida,Pisonia albida
8212,Pisonia brunoniana,Pisonia brunoniana
8213,Pisonia grandis,Pisonia grandis
8214,Pisonia sandwicensis,Pisonia sandwicensis
8215,Pisonia,NA
8216,Pisonia subcordata,Pisonia subcordata
8217,Pisonia umbellifera,Pisonia umbellifera
8218,Pisonia wagneriana,Pisonia wagneriana
8219,Pistacia chinensis,Pistacia chinensis
8220,Pithecellobium dulce,Pithecellobium dulce
8222,Pittosporum tobira,NA
8223,Pithecellobium unguis-cati,Pithecellobium unguis-cati
8224,Pittosporum monae,NA
8225,Pittosporum ferrugineum,Pittosporum ferrugineum
8226,Pittosporum argentifolium,Pittosporum argentifolium
8227,Pittosporum confertiflorum,Pittosporum confertiflorum
8228,Pittosporum flocculosum,Pittosporum flocculosum
8229,Pittosporum gayanum,Pittosporum gayanum
8230,Pittosporum glabrum,Pittosporum glabrum
8231,Pittosporum halophilum,Pittosporum halophylum
8232,Pittosporum hawaiiense,Pittosporum hawaiiense
8233,Pittosporum hosmeri,Pittosporum hosmeri
8234,Pittosporum kauaiense,Pittosporum kauaiense
8235,Pittosporum napaliense,Pittosporum napaliense
8236,Pittosporum pentandrum,Pittosporum pentandrum
8238,Pittosporum,NA
8239,Pittosporum terminalioides,Pittosporum terminalioides
8240,Pittosporum undulatum,Pittosporum undulatum
8241,Pittosporum viridiflorum,Pittosporum viridiflorum
8242,Planchonella garberi,Planchonella garberi
8243,Planchonella grayana,Planchonella tahitensis
8244,Planchonella linggensis,Planchonella chartacea
8246,Planchonella samoensis,Planchonella torricellensis
8247,Planchonella,NA
8248,Planchonella torricellensis,Planchonella torricellensis
8249,Platycladus orientalis,Platycladus orientalis
8250,Platydesma remyi,Platydesma remyi
8251,Platydesma spathulata,NA
8252,Platydesma,NA
8253,Platanus hybrida,NA
8254,Platanus orientalis,Platanus orientalis
8255,Pleodendron macranthum,Pleodendron macranthum
8256,Platanus mexicana,Platanus mexicana
8257,Pleomele aurea,Dracaena aurea
8258,Pleomele auwahiensis,Dracaena rockii
8259,Pleomele fernaldii,Dracaena fernaldii
8260,Pleomele forbesii,Dracaena forbesii
8261,Pleomele halapepe,NA
8262,Pleomele hawaiiensis,Dracaena konaensis
8263,Pleomele,NA
8266,Plumeria alba,Plumeria alba
8268,Plumeria obtusa,Plumeria obtusa
8269,Plumeria obtusa,Plumeria obtusa
8271,Plumeria rubra,Plumeria rubra
8272,Plumeria,NA
8273,Podocarpus coriaceus,Podocarpus coriaceus
8274,Podocarpus macrophyllus,Podocarpus macrophyllus
8275,Poitea florida,Poitea florida
8276,Poitea punicea,Poitea punicea
8279,Polygala cowellii,Polygala cowellii
8280,Polygala penaea,Badiera penaea
8283,Polyscias grandifolia,Polyscias macgillivrayi
8284,Polyscias guilfoylei,Polyscias guilfoylei
8285,Polyscias macgillivrayi,Polyscias macgillivrayi
8286,Polyscias nodosa,Polyscias nodosa
8287,Polyscias samoensis,Polyscias samoensis
8288,Polyscias scutellaria,Polyscias scutellaria
8289,Polyscias,NA
8290,Pometia pinnata,Allophylus cobbe
8292,Ponapea hosinoi,Ponapea hosinoi
8293,Ponapea ledermanniana,Ponapea ledermanniana
8294,Ponapea,NA
8295,Pongamia pinnata,Pongamia pinnata
8296,Poncirus trifoliata,Citrus trifoliata
8297,Pouteria caimito,Pouteria caimito
8298,Pouteria calcarea,Planchonella calcarea
8299,Pouteria campechiana,Pouteria campechiana
8300,Pouteria dictyoneura,Pouteria dictyoneura
8301,Pouteria hotteana,Pouteria hotteana
8302,Pouteria multiflora,Pouteria multiflora
8303,Planchonella obovata,Planchonella obovata
8304,Pouteria sandwicensis,Planchonella sandwicensis
8305,Pouteria sapota,Pouteria sapota
8306,Pouteria,NA
8307,Premna obtusifolia,Premna serratifolia
8308,Premna pubescens,Premna pubescens
8309,Premna serratifolia,Premna serratifolia
8310,Premna,NA
8311,Prestoea acuminata,Prestoea acuminata
8313,Populus canadensis,NA
8314,Populus canescens,NA
8315,Pritchardia affinis,Pritchardia maideniana
8316,Pritchardia arecina,Pritchardia arecina
8317,Pritchardia beccariana,Pritchardia beccariana
8318,Pritchardia forbesiana,Pritchardia forbesiana
8319,Pritchardia hardyi,Pritchardia hardyi
8320,Pritchardia hillebrandii,Pritchardia hillebrandii
8321,Pritchardia kaalae,Pritchardia kaalae
8322,Pritchardia lanaiensis,Pritchardia glabrata
8323,Pritchardia lanigera,Pritchardia lanigera
8324,Pritchardia limahuliensis,Pritchardia napaliensis
8325,Pritchardia lowreyana,Pritchardia lowreyana
8326,Pritchardia martii,Pritchardia martii
8327,Pritchardia minor,Pritchardia minor
8328,Pritchardia munroi,Pritchardia munroi
8329,Pritchardia pacifica,Pritchardia pacifica
8330,Pritchardia perlmanii,Pritchardia perlmanii
8331,Pritchardia remota,Pritchardia remota
8336,Pritchardia schattaueri,Pritchardia schattaueri
8337,Pritchardia,NA
8338,Pritchardia viscosa,Pritchardia viscosa
8339,Pritchardia waialealeana,Pritchardia waialealeana
8340,Prockia crucis,Prockia crucis
8341,Procris pedunculata,NA
8342,Prosopis cineraria,Prosopis cineraria
8343,Prosopis juliflora,Prosopis juliflora
8344,Prosopis pallida,Prosopis pallida
8345,Prunus caroliniana,Prunus caroliniana
8346,Prunus myrtifolia,Prunus myrtifolia
8347,Prunus occidentalis,Prunus occidentalis
8348,Prunus cerasifera,Prunus cerasifera
8349,Prunus serotina,Prunus serotina
8350,Prunus armeniaca,Prunus armeniaca
8351,Prunus dulcis,Prunus dulcis
8352,Pseudolmedia spuria,Pseudolmedia spuria
8353,Pseudophoenix sargentii,Pseudophoenix sargentii
8354,Psidium amplexicaule,Psidium amplexicaule
8355,Psidium cattleianum,Psidium cattleianum
8356,Psidium guajava,Psidium guajava
8357,Prunus yedoensis,NA
8358,Psidium longipes,Mosiera longipes
8359,Psidium sintenisii,Psidium sintenisii
8360,Prunus salicina,Prunus salicina
8361,Psychotria berteriana,NA
8362,Psychotria brachiata,Psychotria brachiata
8363,Psychotria brownei,Psychotria glabrata
8364,Psychotria domingensis,Palicourea domingensis
8365,Psychotria fauriei,Psychotria fauriei
8366,Psychotria grandiflora,Psychotria grandiflora
8367,Psychotria grandis,Psychotria grandis
8368,Psychotria carolinensis,Psychotria hombroniana
8369,Psychotria greenwelliae,Psychotria greenwelliae
8370,Psychotria hathewayi,Psychotria hathewayi
8373,Psychotria hawaiiensis,Psychotria hawaiiensis
8377,Psychotria hexandra,Psychotria hexandra
8382,Psychotria hexandra,Psychotria hexandra
8386,Psychotria hobdyi,Psychotria hobdyi
8387,Psychotria insularum,Psychotria insularum
8388,Psychotria kaduana,Psychotria kaduana
8389,Psychotria maleolens,Psychotria maleolens
8390,Psychotria mariana,Psychotria mariana
8391,Psychotria maricaensis,Psychotria maricaensis
8392,Psychotria mariniana,Psychotria mariniana
8393,Psychotria mauiensis,Psychotria mauiensis
8394,Psychotria microdon,Margaritopsis microdon
8395,Psychotria nutans,NA
8397,Psychotria pubescens,Psychotria pubescens
8398,Psychotria rhombocarpa,Psychotria rhombocarpa
8399,Psychotria rotensis,Psychotria rotensis
8400,Psychotria,NA
8401,Psychotria wawrae,Psychotria wawrae
8402,Psydrax odorata,Psydrax odorata
8403,Ptelea trifoliata,Ptelea trifoliata
8404,Pteralyxia kauaiensis,Pteralyxia kauaiensis
8405,Pteralyxia macrocarpa,Pteralyxia laurifolia
8406,Pteralyxia,NA
8407,Pterocarpus indicus,Pterocarpus indicus
8408,Pterocarpus macrocarpus,Pterocarpus macrocarpus
8409,Pterocarpus marsupium,Pterocarpus marsupium
8410,Pterocarpus officinalis,Pterocarpus officinalis
8411,Pterocarya stenoptera,Pterocarya stenoptera
8412,Ptychococcus ledermannianus,NA
8413,Psychotria cheathamiana,Psychotria cheathamiana
8415,Ptychosperma macarthuri,Ptychosperma macarthurii
8416,Ptychosperma palauense,Ponapea palauensis
8418,Ptychosperma,NA
8419,Punica granatum,Punica granatum
8420,Pyrus,NA
8421,Pyrus calleryana,Pyrus calleryana
8422,Quararibea turbinata,Quararibea turbinata
8423,Pyrus communis,Pyrus communis
8424,Quercus suber,Quercus suber
8425,Randia aculeata,Randia aculeata
8426,Pyrus pyrifolia,Pyrus pyrifolia
8427,Quercus acutissima,Quercus acutissima
8429,Quercus austrina,Quercus austrina
